Case	Project	pos. predictive value rate	true positive rate
SUMF	PANTHER 8.0 (all)	0.7451 +- 0.169153	0.95 +- 0.0955186
SUMF	RBH / BBH	0.95 +- 0.0955186	0.95 +- 0.0955186
SUMF	RSD 0.8 1e-5 Deluca	0.9412 +- 0.111852	0.8 +- 0.175308
SUMF	metaPhOrs incomplete	0.95 +- 0.0955186	0.95 +- 0.0955186
SUMF	orthoinspector 1.30 (blast threshold 10-9)	0.95 +- 0.0955186	0.95 +- 0.0955186
SUMF	phylomeDB	0.9412 +- 0.111852	0.8 +- 0.175308
SUMF	Ensembl Compara (e81)	0.95 +- 0.0955186	0.95 +- 0.0955186
SUMF	Hieranoid 2	0.95 +- 0.0955186	0.95 +- 0.0955186
SUMF	InParanoid	0.95 +- 0.0955186	0.95 +- 0.0955186
SUMF	InParanoidCore	0.9474 +- 0.100407	0.9 +- 0.131481
SUMF	OMA GETHOGs	0.7451 +- 0.169153	0.95 +- 0.0955186
SUMF	OMA Groups (RefSet5)	0.9231 +- 0.144854	0.6 +- 0.214707
SUMF	PANTHER 8.0 (LDO only)	0.7941 +- 0.192213	0.675 +- 0.205274
SUMF	OMA Pairs (Refset5)	0.9487 +- 0.0979016	0.925 +- 0.115436
TRFE	EggNOG	0.9091 +- 0.16989	0.9091 +- 0.16989
TRFE	PANTHER 8.0 (all)	0.7826 +- 0.238397	0.8182 +- 0.227931
TRFE	RBH / BBH	0.8824 +- 0.2166	0.6818 +- 0.275253
TRFE	RSD 0.8 1e-5 Deluca	0.875 +- 0.229177	0.6364 +- 0.28428
TRFE	metaPhOrs incomplete	0.8947 +- 0.195155	0.7727 +- 0.247655
TRFE	orthoinspector 1.30 (blast threshold 10-9)	0.9 +- 0.185942	0.8182 +- 0.227931
TRFE	phylomeDB	0.9 +- 0.185942	0.8182 +- 0.227931
TRFE	Ensembl Compara (e81)	0.9048 +- 0.177555	0.8636 +- 0.202803
TRFE	Hieranoid 2	0.9 +- 0.185942	0.8182 +- 0.227931
TRFE	InParanoid	0.8947 +- 0.195155	0.7727 +- 0.247655
TRFE	InParanoidCore	0.875 +- 0.229177	0.6364 +- 0.28428
TRFE	OMA GETHOGs	0.9 +- 0.185942	0.8182 +- 0.227931
TRFE	OMA Groups (RefSet5)	0.8462 +- 0.277375	0.5 +- 0.295481
TRFE	PANTHER 8.0 (LDO only)	0.8947 +- 0.195155	0.7727 +- 0.247655
TRFE	OMA Pairs (Refset5)	0.8947 +- 0.195155	0.7727 +- 0.247655
VATB	EggNOG	0.9959 +- 0.00808248	0.8654 +- 0.0400905
VATB	PANTHER 8.0 (all)	0.9956 +- 0.00854029	0.8187 +- 0.0452514
VATB	RBH / BBH	0.9948 +- 0.010077	0.693 +- 0.0541726
VATB	RSD 0.8 1e-5 Deluca	0.9925 +- 0.0146265	0.4758 +- 0.0586548
VATB	metaPhOrs incomplete	0.9947 +- 0.0104533	0.6679 +- 0.0553154
VATB	orthoinspector 1.30 (blast threshold 10-9)	0.9858 +- 0.0147994	0.8707 +- 0.0394028
VATB	phylomeDB	0.9954 +- 0.00907397	0.7702 +- 0.0494107
VATB	Ensembl Compara (e81)	0.9957 +- 0.00843005	0.8294 +- 0.0441744
VATB	Hieranoid 2	0.9685 +- 0.022937	0.7738 +- 0.0491374
VATB	InParanoid	0.9847 +- 0.0158552	0.8115 +- 0.045936
VATB	InParanoidCore	0.9916 +- 0.0133543	0.6373 +- 0.056465
VATB	OMA GETHOGs	0.9956 +- 0.00854029	0.8187 +- 0.0452514
VATB	OMA Groups (RefSet5)	0.9922 +- 0.0151935	0.4578 +- 0.0585141
VATB	PANTHER 8.0 (LDO only)	0.993 +- 0.0136109	0.5117 +- 0.0587078
VATB	OMA Pairs (Refset5)	0.9952 +- 0.00946844	0.7379 +- 0.0516519
